Crop,Year,Country,Region,avgtemp,precipitation,co2,yield,extremeevents,irrigationaccess,pesticideuse,fertilizeruse,soilhealth,strategies,economicimpact,irrigationtype,soiltype,season,soilimpact,Machine_Name,Function,Features
Maize,2022,Argentina,Northeast,16.4,1145.54,4.29,3.06,6,18.96,14.57,64.35,97.08,Organic Farming,1284.9,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Sugarcane,2003,USA,Northeast,-3.79,426.87,5.13,0.675,9,91.55,31.03,59.97,34.97,Drought-resistant Crops,200.67,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Maize,2012,China,South,12.69,2985.74,11.05,3.25,3,34.38,33.75,88.65,68.25,Organic Farming,387.18,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Sugarcane,2012,Nigeria,North Central,0.76,716.86,13.39,0.62,7,19.18,7.7,55.7,44.7,Organic Farming,102.89,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Sugarcane,2004,Canada,Prairies,20.5,696.66,23.64,3.249,8,25.21,33.28,36.16,59.77,Crop Rotation,554.75,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Barley,2004,India,Punjab,27.62,1698.53,26.18,3.393,1,41.33,20.01,75.75,83.6,No Adaptation,560.64,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Sugarcane,2000,Brazil,South,16.28,1872.61,5.13,2.67,2,53.45,46.44,84.27,35.88,Organic Farming,640.49,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Sugarcane,2013,Australia,Queensland,7.99,2676.26,16.99,1.872,6,94.88,37.14,18.75,52.43,Water Management,919.19,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Wheat,2014,Brazil,Northeast,-4.94,2072.54,7.58,1.09,4,57.31,15.75,35.7,45.75,Organic Farming,354.5,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Maize,1993,Russia,Northwestern,32.39,2967.46,17.17,0.963,0,96.32,27.79,12.1,67.22,Water Management,406.07,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,2009,Argentina,Northwest,21.62,1391.54,24.09,1.557,1,66.54,12.6,58.9,64.56,No Adaptation,723.51,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Barley,2019,China,Central,19.87,2394.34,1.14,3.73,10,36.75,39.85,98.41,62.91,Water Management,480.95,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,2005,China,South,14.82,1800.76,1.42,4.4,0,46.91,11.71,75.91,98.25,Water Management,2124.72,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,2003,France,Provence-Alpes-Cote d’Azur,13.09,633.39,9.08,2.15,2,56.79,31.96,12.23,78.45,Crop Rotation,764.0,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,1999,China,South,-3.43,2591.32,21.22,0.774,10,44.73,16.54,26.4,75.34,Drought-resistant Crops,254.47,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Rice,2008,India,Tamil Nadu,8.41,1293.21,9.83,1.04,3,69.54,5.35,73.78,30.81,Organic Farming,212.94,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Maize,2000,Australia,New South Wales,17.73,1424.75,29.65,3.897,3,24.92,33.43,39.53,58.84,Organic Farming,616.6,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Barley,2004,India,West Bengal,26.84,2540.63,20.2,0.765,10,63.61,39.71,51.17,30.66,Crop Rotation,329.81,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Sugarcane,2002,Russia,Volga,32.23,485.52,11.82,2.574,1,49.41,6.38,89.5,89.57,Organic Farming,440.03,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Wheat,2005,Australia,New South Wales,24.07,1309.14,18.74,1.953,3,62.01,3.56,94.84,33.74,Water Management,928.97,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Maize,2018,France,Grand Est,24.7,2276.79,8.69,1.48,5,25.66,22.2,19.22,80.85,Crop Rotation,630.39,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Wheat,1990,India,Maharashtra,16.29,963.43,11.81,1.63,10,26.32,22.06,14.27,47.05,No Adaptation,205.83,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Wheat,1993,Argentina,Pampas,-4.83,1122.69,1.67,1.08,7,47.24,20.96,68.81,68.8,Water Management,509.56,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Maize,2019,Russia,Northwestern,26.92,366.88,14.74,1.197,2,92.02,43.9,15.57,77.56,Crop Rotation,446.65,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,2008,France,Nouvelle-Aquitaine,25.07,1004.6,4.05,1.41,10,59.23,46.54,77.88,76.54,Water Management,240.74,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Rice,2007,Russia,Central,33.72,1809.89,12.23,3.79,1,24.73,41.62,91.99,74.69,Organic Farming,631.89,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Barley,1994,Australia,Victoria,34.9,376.95,26.54,0.945,10,66.78,22.35,47.48,86.03,Organic Farming,141.58,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Sugarcane,1994,India,West Bengal,-1.96,1415.42,16.72,1.809,9,68.96,47.98,36.89,83.62,Water Management,639.2,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Rice,2019,China,North,11.96,824.87,17.0,2.088,5,46.37,20.41,89.97,92.57,Drought-resistant Crops,674.51,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Wheat,2015,Nigeria,North West,13.76,1220.91,7.12,4.96,7,36.1,43.0,64.52,76.62,Water Management,1337.51,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Maize,1997,China,East,1.96,2188.61,18.95,1.89,3,72.19,45.94,71.04,30.8,No Adaptation,459.78,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Rice,2006,Canada,Prairies,-0.38,2837.64,10.87,0.69,7,60.36,15.01,93.08,93.68,Drought-resistant Crops,156.92,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Sugarcane,2020,Argentina,Pampas,-4.33,513.0,2.86,1.51,0,76.11,15.39,28.94,71.63,Crop Rotation,708.06,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Barley,2024,USA,Midwest,26.66,898.57,16.8,2.898,7,74.5,9.26,46.49,70.86,Crop Rotation,984.35,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,2021,Brazil,Northeast,1.11,1475.3,9.32,1.61,5,38.55,27.96,0.3,80.81,Crop Rotation,765.55,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,2000,India,West Bengal,31.64,269.76,26.32,0.783,2,52.18,48.33,32.91,60.93,Organic Farming,340.98,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Sugarcane,1991,Argentina,Northwest,11.13,2596.91,27.58,4.248,5,61.8,19.99,19.45,41.92,No Adaptation,906.74,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Sugarcane,2011,Russia,Central,16.71,1820.5,2.76,4.46,3,77.96,30.74,61.31,89.8,No Adaptation,2066.9,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Sugarcane,2003,Argentina,Pampas,10.33,959.28,18.32,2.871,10,21.87,38.4,0.94,64.92,Crop Rotation,620.77,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Wheat,2008,Brazil,South,9.62,1572.68,13.46,0.96,10,43.32,5.52,29.5,77.85,Crop Rotation,166.44,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Sugarcane,2014,Nigeria,North West,-0.68,1270.58,7.09,2.93,1,10.82,1.55,29.7,37.58,Water Management,901.9,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Sugarcane,1991,China,South,18.0,2502.39,13.89,4.28,2,48.97,48.94,44.2,39.93,Organic Farming,857.91,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Barley,2019,China,North,17.46,1473.64,7.18,3.26,10,30.64,4.44,22.43,78.78,No Adaptation,725.49,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Barley,2023,India,Punjab,5.34,286.49,24.96,1.845,6,55.74,8.41,84.49,61.58,Water Management,406.24,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,1996,Brazil,South,8.19,1001.89,3.07,2.95,10,40.44,34.15,33.58,34.49,Organic Farming,569.01,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Sugarcane,2001,Russia,Northwestern,-4.31,295.04,18.25,1.017,4,82.27,0.64,9.22,49.65,No Adaptation,431.26,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Wheat,2022,Australia,New South Wales,9.96,1091.31,18.92,0.774,9,32.36,34.38,99.52,33.39,Crop Rotation,178.9,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Barley,1998,Argentina,Patagonia,8.61,1994.55,8.78,1.46,1,94.88,9.0,62.98,39.54,Drought-resistant Crops,725.98,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Rice,2022,Australia,Western Australia,14.93,2953.54,3.66,2.11,2,92.94,3.15,94.48,65.31,No Adaptation,889.77,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Wheat,2019,Nigeria,South West,7.02,1332.46,19.97,2.556,0,79.32,15.37,15.92,53.33,Water Management,852.28,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Maize,2004,Nigeria,North West,-3.61,2608.95,27.71,2.007,3,43.32,21.64,80.24,79.38,Water Management,389.62,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,2002,Canada,Prairies,18.39,2121.51,8.15,2.32,10,17.71,11.0,44.11,98.56,Organic Farming,855.22,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Barley,1990,Argentina,Northeast,18.38,398.45,21.62,2.043,8,89.37,16.44,33.8,39.44,Organic Farming,1001.23,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,1993,France,Nouvelle-Aquitaine,13.01,973.64,10.25,2.94,7,22.56,35.62,21.07,68.0,Organic Farming,946.72,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Wheat,2014,Russia,Siberian,17.85,2377.78,13.0,3.44,9,32.25,0.16,27.17,94.87,Water Management,1108.77,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Barley,2021,Australia,New South Wales,27.64,1852.15,9.12,1.93,7,57.64,46.19,28.98,63.62,Crop Rotation,211.89,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,2014,Russia,Siberian,-3.44,1528.69,15.08,0.783,3,59.09,40.59,30.23,88.99,No Adaptation,301.06,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Wheat,2006,Australia,New South Wales,14.93,2876.87,6.78,2.19,7,75.41,45.11,40.4,52.17,Crop Rotation,347.47,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Sugarcane,2023,USA,South,-4.3,2207.94,26.66,2.628,3,86.02,10.64,54.5,34.12,No Adaptation,703.45,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Sugarcane,2015,USA,South,21.55,2771.48,8.03,2.49,10,52.92,32.38,24.57,44.11,Water Management,720.45,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Barley,1996,Brazil,Southeast,11.19,346.67,14.51,1.656,1,23.17,45.37,46.01,63.67,Organic Farming,209.66,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Sugarcane,1999,Nigeria,South West,-3.15,1450.48,18.34,0.549,3,76.57,42.66,55.57,57.52,Water Management,107.58,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Sugarcane,1993,India,Tamil Nadu,16.35,1511.86,5.37,4.19,8,10.61,42.1,77.86,70.39,Crop Rotation,1229.29,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Rice,2000,Nigeria,North West,21.34,629.94,18.29,2.709,2,20.66,15.84,65.9,40.12,Organic Farming,582.46,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Wheat,1994,USA,Midwest,25.58,514.93,25.84,2.565,9,37.11,21.02,69.71,35.49,Organic Farming,621.76,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Maize,2004,Nigeria,North Central,26.61,2086.66,29.56,2.475,2,77.5,39.81,52.01,96.22,Crop Rotation,775.37,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Barley,2007,Argentina,Pampas,15.73,1923.15,15.1,3.681,6,76.49,2.63,51.75,39.31,No Adaptation,1053.2,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Sugarcane,2022,India,West Bengal,5.75,2173.17,29.15,2.1870000000000003,0,85.43,33.33,59.93,37.53,Organic Farming,923.47,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Rice,1991,Nigeria,North West,9.82,865.03,7.03,0.72,6,14.26,14.05,48.94,40.61,No Adaptation,164.06,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Sugarcane,2022,France,Grand Est,2.71,2857.91,26.95,1.089,8,86.97,12.89,55.45,42.46,Water Management,175.71,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Sugarcane,2019,Nigeria,South West,12.29,339.11,10.03,1.944,2,55.14,36.63,5.57,37.48,No Adaptation,308.42,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Barley,1991,USA,West,-2.93,1859.41,16.34,1.566,6,61.66,30.58,80.51,35.93,Water Management,464.59,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Wheat,2023,Argentina,Northeast,10.55,2024.06,17.24,3.3120000000000003,7,97.89,43.0,42.34,38.59,Drought-resistant Crops,773.61,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Rice,1995,Russia,Northwestern,8.32,1399.13,28.52,1.566,5,52.72,45.9,55.81,59.62,Organic Farming,285.09,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Maize,2010,USA,Midwest,30.04,2100.69,13.17,3.6,6,35.47,42.44,87.22,80.13,Water Management,1073.79,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,1997,China,North,17.06,390.9,29.55,2.3040000000000003,7,98.16,44.63,18.11,63.6,Water Management,657.26,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Rice,2020,Australia,New South Wales,3.33,2823.76,8.24,1.92,9,48.61,39.25,4.75,95.39,No Adaptation,243.54,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Maize,2007,Canada,British Columbia,25.25,624.0,5.03,1.63,7,30.61,4.57,63.68,97.79,No Adaptation,779.38,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Barley,2001,China,South,4.16,613.44,22.91,1.53,7,94.43,23.54,4.34,76.07,Drought-resistant Crops,570.19,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Sugarcane,2006,USA,Midwest,-1.97,2776.71,17.8,1.125,3,10.37,21.15,90.48,99.06,Drought-resistant Crops,446.97,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Maize,2018,Russia,Northwestern,32.04,1742.68,13.87,3.94,6,63.46,16.47,43.07,43.6,Crop Rotation,1597.14,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,2017,Australia,Victoria,28.85,986.13,17.14,2.583,0,92.1,31.2,33.92,42.47,Organic Farming,311.54,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Rice,1994,Argentina,Patagonia,13.24,2474.75,28.16,2.1870000000000003,7,47.1,10.27,19.18,36.52,No Adaptation,597.19,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Wheat,2012,Brazil,Southeast,-4.5,1595.06,20.63,1.719,2,35.31,30.63,8.78,93.66,Organic Farming,315.28,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Rice,2007,Argentina,Northwest,12.71,2389.79,18.03,4.203,7,13.52,20.13,52.28,95.55,Organic Farming,2031.56,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Wheat,2001,Canada,Prairies,13.9,1893.88,7.02,2.94,4,73.37,4.84,36.27,64.82,No Adaptation,1252.66,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Rice,1999,Canada,Quebec,22.8,1944.82,27.57,3.123,3,50.09,10.41,39.2,85.75,Water Management,934.28,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Barley,2001,USA,West,20.56,1520.09,2.23,3.05,7,35.08,35.04,59.87,54.23,Crop Rotation,990.29,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,1993,USA,South,14.3,1000.73,23.55,1.4220000000000002,5,17.21,0.66,18.51,58.73,Organic Farming,459.67,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Barley,2012,USA,South,9.13,1937.08,20.92,1.998,1,32.78,1.96,44.36,91.91,Organic Farming,576.68,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,1994,USA,West,-1.96,1435.48,17.05,2.682,8,45.72,45.57,95.99,74.43,Water Management,1074.21,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,2014,Canada,Ontario,20.35,1143.48,26.37,2.538,1,77.8,0.63,19.77,43.14,No Adaptation,373.56,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,2006,USA,Midwest,28.74,845.66,8.48,2.25,5,74.12,11.83,13.69,87.51,Organic Farming,1013.46,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,1990,China,South,12.68,1996.64,25.18,1.917,6,29.34,47.74,25.22,96.74,No Adaptation,319.7,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Rice,1995,Australia,Queensland,6.55,1285.69,23.64,2.646,10,27.17,13.02,34.53,38.93,Organic Farming,1321.09,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Rice,1997,Canada,Quebec,3.51,1278.35,20.15,1.35,8,71.11,36.04,6.37,83.55,Organic Farming,175.2,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Barley,2001,India,West Bengal,21.96,1177.96,20.45,1.728,3,52.82,1.28,45.74,79.52,Crop Rotation,466.81,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,2016,Brazil,Northeast,-2.75,2838.43,13.91,1.9,3,47.04,29.17,40.28,48.99,No Adaptation,262.85,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Sugarcane,1992,Nigeria,North West,15.27,2648.64,14.86,4.35,10,78.31,39.05,62.15,43.02,Organic Farming,2130.32,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Maize,1990,Argentina,Northeast,11.81,2412.68,21.37,1.719,9,13.86,33.4,97.57,54.26,Water Management,275.96,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Rice,1990,Argentina,Northeast,26.7,790.69,27.16,1.899,6,59.14,37.87,9.89,67.62,Organic Farming,205.92,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Rice,2016,France,Nouvelle-Aquitaine,19.19,1469.04,5.61,1.63,4,34.34,47.95,99.98,55.92,Organic Farming,643.59,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Sugarcane,2009,Russia,Northwestern,24.78,1431.14,23.81,3.087,6,11.42,10.3,65.0,48.88,Organic Farming,756.8,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Wheat,2016,India,Tamil Nadu,11.92,530.14,25.51,2.385,0,13.03,8.43,3.92,59.97,Water Management,757.48,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Sugarcane,2018,USA,Northeast,30.86,1723.81,23.63,1.341,8,55.61,29.12,31.35,30.4,Drought-resistant Crops,625.98,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Sugarcane,2022,Nigeria,South West,19.59,2514.47,10.47,4.8,0,44.06,13.21,15.07,91.73,No Adaptation,1676.41,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Wheat,2023,China,South,27.33,885.76,21.86,2.475,0,22.81,19.95,13.34,76.72,Crop Rotation,941.11,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Sugarcane,1995,Brazil,Northeast,-0.94,1783.12,27.44,2.529,9,76.5,28.64,23.97,76.9,Drought-resistant Crops,386.23,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Wheat,1999,USA,West,33.52,1045.38,20.83,3.231,10,51.66,8.39,81.53,39.72,Drought-resistant Crops,932.62,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Rice,2006,USA,Midwest,9.1,1952.67,12.89,2.06,6,24.98,3.3,33.04,60.09,No Adaptation,319.19,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Sugarcane,2004,China,Central,7.17,386.29,10.3,1.08,7,82.53,10.92,18.28,57.18,Organic Farming,474.51,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Wheat,1992,Canada,Ontario,24.32,2146.78,26.74,3.321,4,93.74,49.31,62.37,53.45,Drought-resistant Crops,845.26,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
